,n,ori,A'_MPI,A'_AW,A'_V,A'_¦Ñ,A'_VIP,A'_Ha,A'_EI,A'_NI,A'_DMD,A_MPI,A_EN,A_VIP,A_DMD,B_W,B_E(m&b,B_E(p),B_E(a&R) ,B_E,B_EI1,B_EI2,B_EI3,B_CPM,B_VEN,B_Tm,B_Tb,B_EV,B_EM,B_R,B_IR,X_W,X_IR
63,3,1,5.41010136,46.0917,77.09811,0.9927,-3.792,13.228,4.0936,-6.0148,3.791271,5.41010136,2.963739861,-3.792,3.791271,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,35.453,0.99
64,3,1,5.41010136,46.0917,77.09811,0.9927,-3.792,13.228,4.0936,-6.0148,3.791271,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,79.904,0.4
65,6,1,5.41010136,46.0917,77.09811,0.9927,-3.792,13.228,4.0936,-6.0148,3.791271,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
66,10,1,5.41010136,46.0917,77.09811,0.9927,-3.792,13.228,4.0936,-6.0148,3.791271,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
67,20,1,5.41010136,46.0917,77.09811,0.9927,-3.792,13.228,4.0936,-6.0148,3.791271,6.11512817,0.37686461,-4.0225,2.1661,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
68,1,1,5.41010136,46.0917,77.09811,0.9927,-3.792,13.228,4.0936,-6.0148,3.791271,0,0,0,0,63.546,1.08,1.9,1.75,4.48,745.4,1958,3554,4.45,11,1356,2840,306.7,13,0.96,0.46,35.453,0.99
69,1,2,10.03450113,62.11429,89.75816,1.1491,22.3904,12.9678,9.7556,-11.4042,0,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,126.905,0.65
70,1,1,5.22150232,82.07263,86.89422,1.5684,13.4266,9.3971,4.0534,-5.8228,6.895189,0,0,0,0,112.411,1.4,1.7,1.46,4.33,867.7,1631,3616,4.05,12,594,1038,100,6.4,0.93,1.81,79.904,0.4
71,1,1,5.22150232,82.07263,86.89422,1.5684,13.4266,9.3971,4.0534,-5.8228,6.895189,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,79.904,0.4
72,1,1,5.11699356,100.06309,92.28513,1.8005,-4.2093,9.6273,4.2283,-6.8245,9.197714,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,0.83,0.938,79.904,0.4
